"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"5,1","35,7","16,4","10,6","6,8","8,7","26,4","-6,8","2,2","11,8","6,4","7,4","4,7","-0,7","4,4",5,"0,6","2,3","5,6","7,8","10,6",no data,no data,no data,no data,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"-0,2","35,7",226,85,"22,6","7,8","12,7","33,2","20,6","0,4",0,"3,1","5,2","2,4","2,9","2,4","2,4",3,"3,3","2,2","3,6","3,4",2,"1,9","1,6","1,9","1,3",2,2,"1,4","1,6",2,"6,7","4,8","3,5",3,3,3,3,3
Algeria,"9,7","14,6","6,6","7,8","6,3","10,4",14,"5,9","5,9","9,2","9,3","25,9","31,7","20,5",29,"29,8","18,7","5,7",5,"2,6","0,3","4,2","1,4","4,3",4,"1,4","2,3","3,7","4,9","5,7","3,9","4,5","8,9","3,3","2,9","4,8","6,4","5,6","4,3",2,"2,4","7,2","9,3","9,3","7,6","6,4","6,1","5,5","5,2",5
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"3,1","3,1","2,9","3,5","3,7","2,7","4,3","-1,2","1,7","2,6","1,5","0,5","-0,1","-1,1","-0,4","2,6",1,"0,5","0,1","1,7","6,2","5,6","4,3","2,4","2,1","1,7","1,7","1,7"
Angola,"46,7","1,4","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","85,3","299,1","1379,5","949,8","2672,2",4146,"221,5","107,4","248,2",325,"152,6","108,9","98,2","43,5",23,"13,3","12,2","12,5","13,7","14,5","13,5","10,3","8,8","7,3","9,2","30,7","29,8","19,6","17,1","22,3","25,8","21,4","13,6",22,"12,8","8,5","7,4","7,4","7,4"
Antigua and Barbuda,19,"11,5","4,2","2,3","3,8",1,"0,5","3,6","6,8","4,4","6,6","4,5",3,"3,1","6,5","2,7",3,"0,4","3,3","1,1","-0,2","1,9","2,4",2,2,"2,1","1,8","1,4","5,3","-0,6","3,4","3,5","3,4","1,1","1,1",1,"-0,5","2,4","1,2","1,4","1,1","1,6","7,5","5,1","2,6",2,2,2,2,2
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"0,9","-1,2","-0,9","-1,1","25,9","13,4","4,4","9,6","10,9","8,8","8,6","6,3","10,5","9,8",10,"10,6",no data,no data,no data,"25,7","34,3","53,5",42,"48,4","72,4","133,5","249,8","59,6","31,8","17,5","10,4","8,9"
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"3731,8","5273,4","176,7","18,7",14,"8,7","0,7","-0,8","3,2",1,"4,7","6,9","0,6","2,9","4,4","9,1","3,5","8,2","7,5","2,5","5,7",3,"3,7","-1,4","1,2","2,5","1,4","1,2","7,2","8,6",2,"3,1","3,7",4,4,4,4
Aruba,no data,no data,no data,no data,no data,no data,no data,"3,6","3,1",4,"5,8","5,6","3,9","5,2","6,3","3,4","3,2",3,"1,9","2,3","4,1","2,9","3,3","3,7","2,5","3,4","3,6","5,4",9,"-2,1","2,1","4,4","0,6","-2,4","0,4","0,5","-0,9",-1,"3,6","3,9","-1,3","0,7","5,5","3,4","2,3","1,8","1,9",2,2,2
Australia,"10,1","9,5","11,4",10,4,"6,7","9,1","8,5","7,3","7,6","7,2","3,3",1,"1,8","1,9","4,6","2,7","0,2","0,9","1,4","4,5","4,4",3,"2,7","2,3","2,7","3,6","2,4","4,3","1,8","2,9","3,4","1,7","2,5","2,5","1,5","1,3",2,"1,9","1,6","0,9","2,8","6,6","5,6","3,5",3,"2,7","2,7","2,6","2,5"
Austria,"6,3","6,8","5,4","3,3","5,7","3,2","1,7","1,4","1,9","2,2","2,8","3,1","3,4","3,2","2,7","1,6","1,8","1,2","0,8","0,5",2,"2,3","1,7","1,3",2,"2,1","1,7","2,2","3,2","0,4","1,7","3,5","2,6","2,1","1,5","0,8",1,"2,2","2,1","1,5","1,4","2,8","8,6","7,7","3,9","2,8","2,3",2,"2,1","2,1"
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1129,7",1664,"411,8","19,8","3,7","-0,8","-8,5","1,8","1,8","2,8","2,1","6,7","9,6","8,3","16,7","20,8","1,5","5,7","7,9","1,1","2,4","1,4",4,"12,4","12,9","2,3","2,6","2,8","6,7","13,9","8,2","3,5",5,"4,5",4,4,4
"Bahamas, The","12,2",11,"6,1",4,4,"4,6","5,4",6,"4,1","5,4","4,6","7,3","5,6","2,7","1,4",2,"1,3","0,6","1,2","1,1","1,7","2,4","1,5","3,7","1,2","1,8",2,"2,4","4,4","1,7","1,6","3,1","1,9","0,4","1,2","1,9","-0,3","1,5","2,3","2,5",0,"2,9","5,6","3,1",2,"2,2",2,"1,9","1,9",2
Bahrain,"3,8","11,4","8,7","3,2",0,"-2,4","-2,5","-1,7","0,2","1,2","1,3","0,9","-0,3","2,6",4,"3,1","-0,2","4,6","-0,4","-1,3","-0,7","-1,2","-0,5","1,7","2,2","2,6",2,"3,3","3,5","2,8",2,"-0,3","2,8","3,3","2,6","1,8","2,8","1,4","2,1",1,"-2,3","-0,6","3,6","0,1","1,4","1,8","2,1","2,1","2,1","2,1"
Bangladesh,"7,7","14,9","13,7","11,1",10,"10,4","10,3","10,5","10,2","9,2","9,7","9,3","5,9","3,3","4,6","8,9","6,8","2,7","6,7","8,9","3,6","1,8","2,4","3,9","8,1","6,5","7,2","7,2","9,9","6,7","7,3","8,8","8,9","6,8","7,3","6,4","5,9","5,4","5,8","5,5","5,6","5,6","6,1",9,"9,3","6,1","5,7","5,5","5,5","5,5"
Barbados,"18,5","14,6","10,3","5,3","4,6","4,9","0,2","3,6","4,7","6,3",3,"6,3",6,"1,2","0,7","2,8","2,4","7,7","-1,3","1,6","0,9","4,2","0,3","1,2","0,8","4,7","7,5","4,8","6,5","5,6","5,2","7,6","7,1","2,2","1,6","0,3","-0,3","3,5","5,2","1,6","0,5","1,5",5,5,"3,9","2,8","2,4","2,4","2,4","2,4"
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"83,5","970,3","1190,3","2220,9","709,3","52,7","63,8",73,"293,7","168,6","61,1","42,6","28,4","18,1","10,3",7,"8,4","14,8",13,"7,7","53,2","59,2","18,3","18,1","13,5","11,8",6,"4,9","5,6","5,5","9,5","15,2",5,"6,3","6,5","5,9","5,5","5,2",5
